Epoch	ERROR
00000000	36.789986
00000001	38.740563
00000002	39.213670
00000003	38.969001
00000004	38.606296
00000005	38.243465
00000006	37.873205
00000007	37.459148
00000008	36.952235
00000009	36.291346
00000010	35.409828
00000011	34.278159
00000012	32.976201
00000013	31.685881
00000014	30.553511
00000015	29.569533
00000016	28.646476
00000017	27.687302
00000018	26.666557
00000019	25.625642
00000020	24.611382
00000021	23.652658
00000022	22.764717
00000023	21.955628
00000024	21.229330
00000025	20.586783
00000026	20.026695
00000027	19.546353
00000028	19.142414
00000029	18.811041
00000030	18.546867
00000031	18.340995
00000032	18.179620
00000033	18.045422
00000034	17.921920
00000035	17.797841
00000036	17.668530
00000037	17.534444
00000038	17.398653
00000039	17.264807
00000040	17.135962
00000041	17.014115
00000042	16.900241
00000043	16.794691
00000044	16.697837
00000045	16.610811
00000046	16.536041
00000047	16.477305
00000048	16.439056
00000049	16.425055
00000050	16.437284
00000051	16.476979
00000052	16.548315
00000053	16.664356
00000054	16.861311
00000055	17.229681
00000056	17.929821
00000057	19.041626
00000058	20.216504
00000059	20.984977
00000060	21.429290
00000061	21.708111
00000062	21.872186
00000063	21.932219
00000064	21.908321
00000065	21.828381
00000066	21.713361
00000067	21.574952
00000068	21.419440
00000069	21.251154
00000070	21.074010
00000071	20.891777
00000072	20.707834
00000073	20.524886
00000074	20.344776
00000075	20.168448
00000076	19.996033
00000077	19.827031
00000078	19.660528
00000079	19.495422
00000080	19.330586
00000081	19.164994
00000082	18.997773
00000083	18.828240
00000084	18.655903
00000085	18.480457
00000086	18.301772
00000087	18.119878
00000088	17.934943
00000089	17.747249
00000090	17.557167
00000091	17.365139
00000092	17.171650
00000093	16.977217
00000094	16.782375
00000095	16.587671
00000096	16.393656
00000097	16.200891
00000098	16.009948
00000099	15.821421
00000100	15.635940
00000101	15.454197
00000102	15.276978
00000103	15.105214
00000104	14.940058
00000105	14.782989
00000106	14.635943
00000107	14.501472
00000108	14.382790
00000109	14.283461
00000110	14.206101
00000111	14.149531
00000112	14.105470
00000113	14.059015
00000114	13.995459
00000115	13.907445
00000116	13.795622
00000117	13.664826
00000118	13.520689
00000119	13.368097
00000120	13.210830
00000121	13.051665
00000122	12.892583
00000123	12.734972
00000124	12.579785
00000125	12.427661
00000126	12.279017
00000127	12.134104
00000128	11.993062
00000129	11.855949
00000130	11.722762
00000131	11.593460
00000132	11.467973
00000133	11.346212
00000134	11.228073
00000135	11.113447
00000136	11.002219
00000137	10.894272
00000138	10.789488
00000139	10.687753
00000140	10.588952
00000141	10.492974
00000142	10.399710
00000143	10.309058
00000144	10.220915
00000145	10.135185
00000146	10.051773
00000147	9.970590
00000148	9.970590
00000149	9.970590
00000150	9.970590
00000151	9.970590
00000152	9.970590
00000153	9.970590
00000154	9.970590
00000155	9.970590
00000156	9.970590
