Epoch	ERROR1	TIME	
00000187	94.329549	26:15:07:49
00000188	93.700959	26:15:07:49
00000189	93.089924	26:15:07:49
00000190	92.496092	26:15:07:49
00000191	91.919203	26:15:07:49
00000192	91.358654	26:15:07:49
00000193	90.814164	26:15:07:49
00000194	90.285178	26:15:07:49
00000195	89.771255	26:15:07:49
00000196	89.271640	26:15:07:49
00000197	88.785212	26:15:07:49
00000198	88.310512	26:15:07:49
00000199	87.845944	26:15:07:49
00000200	87.389994	26:15:07:49
00000201	86.941115	26:15:07:49
00000202	86.497569	26:15:07:49
00000203	86.057208	26:15:07:49
00000204	85.617272	26:15:07:49
00000205	85.174276	26:15:07:49
00000206	84.724064	26:15:07:49
00000207	84.262110	26:15:07:49
00000208	83.783902	26:15:07:49
00000209	83.285633	26:15:07:49
00000210	82.764937	26:15:07:49
00000211	82.221504	26:15:07:49
00000212	81.657439	26:15:07:49
00000213	81.077172	26:15:07:49
00000214	80.486910	26:15:07:49
00000215	79.893732	26:15:07:49
00000216	79.304522	26:15:07:49
00000217	78.724990	26:15:07:49
00000218	78.158969	26:15:07:49
00000219	77.608117	26:15:07:49
00000220	77.072048	26:15:07:49
00000221	76.548865	26:15:07:49
00000222	76.036060	26:15:07:49
00000223	75.531000	26:15:07:49
00000224	75.031442	26:15:07:49
00000225	74.535785	26:15:07:49
00000226	74.042895	26:15:07:49
00000227	73.551683	26:15:07:49
00000228	73.060788	26:15:07:49
00000229	72.568589	26:15:07:49
00000230	72.073785	26:15:07:49
00000231	71.575511	26:15:07:49
00000232	71.073503	26:15:07:49
00000233	70.568052	26:15:07:49
00000234	70.059853	26:15:07:49
00000235	69.549895	26:15:07:49
00000236	69.039037	26:15:07:49
00000237	68.528321	26:15:07:49
00000238	68.018751	26:15:07:49
00000239	67.510995	26:15:07:49
00000240	67.005015	26:15:07:49
00000241	66.499553	26:15:07:49
00000242	65.992898	26:15:07:49
00000243	65.483500	26:15:07:49
00000244	64.971204	26:15:07:49
00000245	64.458251	26:15:07:49
00000246	63.949250	26:15:07:49
00000247	63.450812	26:15:07:49
00000248	62.969509	26:15:07:49
00000249	62.510633	26:15:07:49
00000250	62.077030	26:15:07:49
00000251	61.669014	26:15:07:49
00000252	61.284763	26:15:07:49
00000253	60.921336	26:15:07:49
00000254	60.575231	26:15:07:49
00000255	60.243355	26:15:07:49
00000256	59.922836	26:15:07:49
00000257	59.611618	26:15:07:49
00000258	59.308089	26:15:07:49
00000259	59.010532	26:15:07:49
00000260	58.717096	26:15:07:49
00000261	58.425566	26:15:07:49
00000262	58.133496	26:15:07:49
00000263	57.838546	26:15:07:49
00000264	57.538997	26:15:07:49
00000265	57.234260	26:15:07:49
00000266	56.925123	26:15:07:49
00000267	56.613992	26:15:07:49
00000268	56.304665	26:15:07:49
00000269	56.000807	26:15:07:49
00000270	55.705995	26:15:07:49
00000271	55.423205	26:15:07:49
00000272	55.154527	26:15:07:49
00000273	54.900783	26:15:07:49
00000274	54.662050	26:15:07:49
00000275	54.437665	26:15:07:49
00000276	54.226473	26:15:07:49
00000277	54.026912	26:15:07:49
00000278	53.837445	26:15:07:49
00000279	53.656321	26:15:07:49
00000280	53.482035	26:15:07:49
00000281	53.313176	26:15:07:49
00000282	53.148526	26:15:07:49
00000283	52.986848	26:15:07:49
00000284	52.826768	26:15:07:49
00000285	52.667067	26:15:07:49
00000286	52.506532	26:15:07:49
00000287	52.344170	26:15:07:49
00000288	52.178815	26:15:07:49
00000289	52.009416	26:15:07:49
00000290	51.835420	26:15:07:49
00000291	51.656629	26:15:07:49
00000292	51.473072	26:15:07:49
00000293	51.285141	26:15:07:49
00000294	51.093205	26:15:07:49
00000295	50.897580	26:15:07:49
00000296	50.697993	26:15:07:49
00000297	50.494554	26:15:07:49
00000298	50.287288	26:15:07:49
00000299	50.076658	26:15:07:49
00000300	49.863478	26:15:07:49
00000301	49.648833	26:15:07:49
00000302	49.433918	26:15:07:49
00000303	49.220051	26:15:07:49
00000304	49.007212	26:15:07:49
00000305	48.795064	26:15:07:49
00000306	48.582536	26:15:07:49
00000307	48.368408	26:15:07:49
00000308	48.151509	26:15:07:49
00000309	47.931137	26:15:07:49
00000310	47.707035	26:15:07:49
